sum;transitions
3101314;101
1348797;102
840394;103
1994920;104
1488823;105
116254;106
1004;107
1731524;201
2751395;202
943311;203
1821277;204
524619;205
50875;206
1798;207
425100;301
986318;302
784862;303
390743;304
38198;305
7195;306
2698;307
1348251;401
1009635;402
258644;403
2306137;404
1842069;405
284853;406
27390;407
1249244;501
824726;502
87151;503
3364033;504
26635006;505
8255008;506
374598;507
376892;601
132290;602
30103;603
500612;604
5446692;605
6862587;606
185314;607
2489;701
669;702
1715;703
5104;704
31336;705
97565;706
790851;707
