sum;transitions
3909810;101
1609948;102
545586;103
1462237;104
1335722;105
48480;106
45;107
1082365;201
3241587;202
677118;203
715975;204
168130;205
4117;206
805892;301
732369;302
725287;303
200416;304
128873;305
20857;306
16513;307
2970022;401
1587758;402
425807;403
3685039;404
4932390;405
245362;406
113;407
759898;501
100152;502
129641;503
1691972;504
27633351;505
2355279;506
57048;507
53228;601
24156;602
64025;603
430209;604
10160942;605
6000476;606
34586;607
136;701
22;702
204;703
2388;704
145857;705
60164;706
715203;707
